selfId    classId    sex    firstGoal    codeInHigh    scoreInHig    province    courseCode1    courseCode2    homeworkSource    examSource    homeworkAllNum    homeworkYourNum    homeworkYourMeanScore    MidtermSimualtionAllNum    MidtermSimualtionYourNum    MidtermSimualtionYourScore    MidtermAllNum    MidtermYourNum    MidtermYourScore    SE122FinalSimualtionAllNum    SE122FinalSimualtionYourNum    SE122FinalSimualtionYourScore    SE122FinalAllNum    SE122FinalYourNum    SE122FinalYourScore    SE123MidtermAllNum    SE123MidtermYourNum    SE123MidtermYourScore    SE123Final1AllNum    SE123Final1YourNum    SE123Final1YourScore    SE123Final2AllNum    SE123Final2YourNum    SE123Final2YourScore    examMeanScore    positionInClass
10874      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
 5315      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
74987      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
 9384      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
79524      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
30760      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
61491      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
83281      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
65604      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
31536      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
16837      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
 6612      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
29998      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
58588      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
81881      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
74892      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
29082      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
36984      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
48007      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
42629      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
29021      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
41390      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
64809      87791                                                                 程序设计 (I)     not exist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
